old_fqn,new_fqn,reason
viewbox::tests::nonunit_scale_expands_and_clamps_within_surface,viewbox::dirty_tests::nonunit_scale_expands_and_clamps_within_surface,theme_split
viewbox::tests::nonunit_scale_keeps_committed_within_half_pixel,viewbox::axis_tests::nonunit_scale_keeps_committed_within_half_pixel,theme_split
viewbox::tests::overhang_extends_changed_line_dirty_beyond_em_box,viewbox::dirty_tests::overhang_extends_changed_line_dirty_beyond_em_box,theme_split
viewbox::tests::plan_commit_two_phase_idempotent_across_commit_boundary,viewbox::plan_commit_tests::plan_commit_two_phase_idempotent_across_commit_boundary,theme_split
viewbox::tests::plan_dirty_derivation_suite_covers_five_cases,viewbox::plan_commit_tests::plan_dirty_derivation_suite_covers_five_cases,theme_split
viewbox::tests::plan_is_pure_and_repeatable_without_commit,viewbox::plan_commit_tests::plan_is_pure_and_repeatable_without_commit,theme_split
viewbox::tests::plan_returns_three_variants,viewbox::plan_commit_tests::plan_returns_three_variants,theme_split
viewbox::tests::plan_shrunk_content_degrades_to_full_domain,viewbox::plan_commit_tests::plan_shrunk_content_degrades_to_full_domain,theme_split
viewbox::tests::quantization_is_direct_round_half_away_from_zero,viewbox::axis_tests::quantization_is_direct_round_half_away_from_zero,theme_split
viewbox::tests::request_clear_then_commit_full_clear_returns_to_normal,viewbox::plan_commit_tests::request_clear_then_commit_full_clear_returns_to_normal,theme_split
viewbox::tests::resolve_position_is_deterministic,viewbox::axis_tests::resolve_position_is_deterministic,theme_split
viewbox::tests::scale_one_integer_offset_yields_committed_equal_to_pos,viewbox::axis_tests::scale_one_integer_offset_yields_committed_equal_to_pos,theme_split
viewbox::tests::typewriter_single_glyph_dirties_current_line_only,viewbox::dirty_tests::typewriter_single_glyph_dirties_current_line_only,theme_split
viewbox::tests::visible_window_only_move_horizontal_dirties_bottom_band_only,viewbox::dirty_tests::visible_window_only_move_horizontal_dirties_bottom_band_only,theme_split
viewbox::tests::visible_window_only_move_vertical_lr_dirties_right_band_only,viewbox::dirty_tests::visible_window_only_move_vertical_lr_dirties_right_band_only,theme_split
viewbox::tests::visible_window_only_move_vertical_rl_dirties_left_band_only,viewbox::dirty_tests::visible_window_only_move_vertical_rl_dirties_left_band_only,theme_split
viewbox::tests::within_line_shrink_falls_back_to_full_dirty,viewbox::dirty_tests::within_line_shrink_falls_back_to_full_dirty,theme_split
viewbox_draw::tests::choice_resident_renders_pixel_identical_to_glyph_run,viewbox_draw::choice_hover_tests::choice_resident_renders_pixel_identical_to_glyph_run,theme_split
viewbox_draw::tests::device_failure_mid_render_is_retry_safe_front_unchanged_no_commit,viewbox_draw::frame_render_tests::device_failure_mid_render_is_retry_safe_front_unchanged_no_commit,theme_split
viewbox_draw::tests::diag_dump_budoux_wordwrap_pngs,viewbox_draw::png_dump_tests::diag_dump_budoux_wordwrap_pngs,theme_split
viewbox_draw::tests::diag_dump_horizontal_pngs,viewbox_draw::png_dump_tests::diag_dump_horizontal_pngs,theme_split
viewbox_draw::tests::diag_line_boundary_dropout_vs_oracle,viewbox_draw::oracle_regression_tests::diag_line_boundary_dropout_vs_oracle,theme_split
viewbox_draw::tests::font_change_degrades_to_full_domain_redraw,viewbox_draw::frame_render_tests::font_change_degrades_to_full_domain_redraw,theme_split
viewbox_draw::tests::hover_choice_line_paints_segment_and_resets_on_hover_off,viewbox_draw::choice_hover_tests::hover_choice_line_paints_segment_and_resets_on_hover_off,theme_split
viewbox_draw::tests::initial_frame_renders_content,viewbox_draw::frame_render_tests::initial_frame_renders_content,theme_split
viewbox_draw::tests::live_diff_detects_injected_divergence,viewbox_draw::live_diff_tests::live_diff_detects_injected_divergence,theme_split
viewbox_draw::tests::live_diff_horizontal_matches_oracle_byte_for_byte,viewbox_draw::live_diff_tests::live_diff_horizontal_matches_oracle_byte_for_byte,theme_split
viewbox_draw::tests::live_diff_larger_font_matches_oracle_byte_for_byte,viewbox_draw::live_diff_tests::live_diff_larger_font_matches_oracle_byte_for_byte,theme_split
viewbox_draw::tests::live_diff_nonunit_scale_horizontal_within_tolerance,viewbox_draw::live_diff_tests::live_diff_nonunit_scale_horizontal_within_tolerance,theme_split
viewbox_draw::tests::live_diff_nonunit_scale_vertical_lr_within_tolerance,viewbox_draw::live_diff_tests::live_diff_nonunit_scale_vertical_lr_within_tolerance,theme_split
viewbox_draw::tests::live_diff_nonunit_scale_vertical_rl_within_tolerance,viewbox_draw::live_diff_tests::live_diff_nonunit_scale_vertical_rl_within_tolerance,theme_split
viewbox_draw::tests::live_diff_proportional_font_matches_oracle_byte_for_byte,viewbox_draw::live_diff_tests::live_diff_proportional_font_matches_oracle_byte_for_byte,theme_split
viewbox_draw::tests::live_diff_vertical_lr_matches_oracle_byte_for_byte,viewbox_draw::live_diff_tests::live_diff_vertical_lr_matches_oracle_byte_for_byte,theme_split
viewbox_draw::tests::live_diff_vertical_rl_matches_oracle_byte_for_byte,viewbox_draw::live_diff_tests::live_diff_vertical_rl_matches_oracle_byte_for_byte,theme_split
viewbox_draw::tests::plan_inconsistency_detects_out_of_range_and_oversize,viewbox_draw::frame_render_tests::plan_inconsistency_detects_out_of_range_and_oversize,theme_split
viewbox_draw::tests::request_clear_triggers_full_clear_then_content_returns,viewbox_draw::frame_render_tests::request_clear_triggers_full_clear_then_content_returns,theme_split
viewbox_draw::tests::typewriter_progress_draws_only_current_line,viewbox_draw::frame_render_tests::typewriter_progress_draws_only_current_line,theme_split
viewbox_draw::tests::unchanged_frame_is_nochange_no_blit_no_draw,viewbox_draw::frame_render_tests::unchanged_frame_is_nochange_no_blit_no_draw,theme_split
viewbox_draw::tests::visible_window_move_blits_and_redraws_only_exposure_band,viewbox_draw::frame_render_tests::visible_window_move_blits_and_redraws_only_exposure_band,theme_split
viewbox_draw::tests::within_line_shrink_no_newline_stays_byte_equal_to_oracle,viewbox_draw::oracle_regression_tests::within_line_shrink_no_newline_stays_byte_equal_to_oracle,theme_split
viewbox_draw::tests::yugothic_real_fixture_matches_oracle_byte_for_byte,viewbox_draw::live_diff_tests::yugothic_real_fixture_matches_oracle_byte_for_byte,theme_split
