"declaring_file","declaring_line","module_name","separated_file","separated_lines","crate","area"
"crates/areka-parsers/src/sakura/mod.rs","19","lexer_tests","crates/areka-parsers/src/sakura/lexer_tests.rs","455","areka-parsers","src"
"crates/areka-parsers/src/sakura/mod.rs","24","decode_tests","crates/areka-parsers/src/sakura/decode_tests.rs","586","areka-parsers","src"
"crates/areka-parsers/src/sakura/mod.rs","29","parse_tests","crates/areka-parsers/src/sakura/parse_tests.rs","95","areka-parsers","src"
"crates/areka-parsers/src/sakura/mod.rs","32","validation_tests","crates/areka-parsers/src/sakura/validation_tests.rs","418","areka-parsers","src"
"crates/areka-parsers/src/shell/mod.rs","18","model_tests","crates/areka-parsers/src/shell/model_tests.rs","240","areka-parsers","src"
"crates/areka-parsers/src/shell/mod.rs","23","lexer_tests","crates/areka-parsers/src/shell/lexer_tests.rs","276","areka-parsers","src"
"crates/areka-parsers/src/shell/mod.rs","28","decode_tests","crates/areka-parsers/src/shell/decode_tests.rs","1395","areka-parsers","src"
"crates/areka-parsers/src/shell/mod.rs","33","parse_tests","crates/areka-parsers/src/shell/parse_tests.rs","230","areka-parsers","src"
"crates/areka-parsers/src/shell/mod.rs","36","validation_tests","crates/areka-parsers/src/shell/validation_tests.rs","639","areka-parsers","src"
"crates/areka-sylphya/src/lib.rs","49","ledger_key_determinism_tests","crates/areka-sylphya/src/ledger_key_determinism_tests.rs","257","areka-sylphya","src"
"crates/areka-sylphya/src/lib.rs","55","test_log_capture","crates/areka-sylphya/src/test_log_capture.rs","150","areka-sylphya","src"
"crates/areka-talk/src/lib.rs","117","tests","crates/areka-talk/src/tests.rs","437","areka-talk","src"
"crates/areka/src/emo2_boot/mod.rs","30","spine","crates/areka/src/emo2_boot/spine.rs","2503","areka","src"
"crates/areka/src/main.rs","74","shiori_e2e_tests","crates/areka/src/shiori_e2e_tests.rs","186","areka","src"
"crates/areka/src/main.rs","80","shiori_lifecycle_e2e_tests","crates/areka/src/shiori_lifecycle_e2e_tests.rs","199","areka","src"
"crates/areka/src/main.rs","87","shiori_reference_e2e_tests","crates/areka/src/shiori_reference_e2e_tests.rs","329","areka","src"
"crates/areka/src/placement/mod.rs","35","test_support","crates/areka/src/placement/test_support.rs","195","areka","src"
"crates/dola/src/runtime/instance_manager/mod.rs","256","tests","crates/dola/src/runtime/instance_manager/tests.rs","410","dola","src"
"crates/dola/src/runtime/interpolator/mod.rs","203","tests","crates/dola/src/runtime/interpolator/tests.rs","539","dola","src"
"crates/dola/src/runtime/loop_controller/mod.rs","184","tests","crates/dola/src/runtime/loop_controller/tests.rs","441","dola","src"
"crates/dola/src/runtime/subscription_manager/mod.rs","189","tests","crates/dola/src/runtime/subscription_manager/tests.rs","333","dola","src"
"crates/dola/src/runtime/timeline_manager/mod.rs","350","tests","crates/dola/src/runtime/timeline_manager/tests.rs","468","dola","src"
"crates/wintf/src/ecs/drag/state/mod.rs","539","tests","crates/wintf/src/ecs/drag/state/tests.rs","499","wintf","src"
"crates/wintf/src/ecs/graphics/mod.rs","19","tests","crates/wintf/src/ecs/graphics/tests.rs","145","wintf","src"
"crates/wintf/src/ecs/layout/hit_region/mod.rs","512","tests","crates/wintf/src/ecs/layout/hit_region/tests/mod.rs","10","wintf","src"
"crates/wintf/src/ecs/layout/hit_test/mod.rs","603","tests","crates/wintf/src/ecs/layout/hit_test/tests.rs","333","wintf","src"
