old_fqn,new_fqn,reason
schedule::steady::tests::steady_none_mouse_double_click_right_emits_get_ref5_one,schedule::steady::flow_tests::steady_none_mouse_double_click_right_emits_get_ref5_one,theme_split
schedule::steady::tests::steady_none_mouse_move_emits_get_and_keeps_phase,schedule::steady::flow_tests::steady_none_mouse_move_emits_get_and_keeps_phase,theme_split
schedule::steady::tests::steady_none_mouse_no_content_starts_no_talk,schedule::steady::flow_tests::steady_none_mouse_no_content_starts_no_talk,theme_split
schedule::steady::tests::steady_none_mouse_value_starts_talk_with_mouse_origin,schedule::steady::flow_tests::steady_none_mouse_value_starts_talk_with_mouse_origin,theme_split
schedule::steady::tests::steady_none_no_content_starts_no_talk,schedule::steady::flow_tests::steady_none_no_content_starts_no_talk,theme_split
schedule::steady::tests::steady_none_tick_emits_get_and_updates_last_now,schedule::steady::flow_tests::steady_none_tick_emits_get_and_updates_last_now,theme_split
schedule::steady::tests::steady_none_tick_with_pending_close_begins_handshake,schedule::steady::flow_tests::steady_none_tick_with_pending_close_begins_handshake,theme_split
schedule::steady::tests::steady_none_value_records_started_script_in_active_talk,schedule::steady::flow_tests::steady_none_value_records_started_script_in_active_talk,theme_split
schedule::steady::tests::steady_none_value_starts_talk_and_ids_are_monotonic,schedule::steady::flow_tests::steady_none_value_starts_talk_and_ids_are_monotonic,theme_split
schedule::steady::tests::steady_some_close_request_records_pending_only,schedule::steady::flow_tests::steady_some_close_request_records_pending_only,theme_split
schedule::steady::tests::steady_some_mouse_move_emits_get_with_talking_status,schedule::steady::flow_tests::steady_some_mouse_move_emits_get_with_talking_status,theme_split
schedule::steady::tests::steady_some_mouse_replacement_records_new_script_in_active_talk,schedule::steady::flow_tests::steady_some_mouse_replacement_records_new_script_in_active_talk,theme_split
schedule::steady::tests::steady_some_mouse_value_replaces_slot_with_new_talk_id,schedule::steady::flow_tests::steady_some_mouse_value_replaces_slot_with_new_talk_id,theme_split
schedule::steady::tests::steady_some_non_mouse_value_is_discarded_dd6,schedule::steady::flow_tests::steady_some_non_mouse_value_is_discarded_dd6,theme_split
schedule::steady::tests::steady_some_notified_stays_and_emits_nothing,schedule::steady::flow_tests::steady_some_notified_stays_and_emits_nothing,theme_split
schedule::steady::tests::steady_some_tick_emits_notify,schedule::steady::flow_tests::steady_some_tick_emits_notify,theme_split
schedule::steady::tests::steady_some_value_is_discarded_without_start_talk,schedule::steady::flow_tests::steady_some_value_is_discarded_without_start_talk,theme_split
schedule::steady::tests::steady_talk_done_ended_resumes_steady_and_pump_restarts,schedule::steady::flow_tests::steady_talk_done_ended_resumes_steady_and_pump_restarts,theme_split
schedule::steady::tests::steady_talk_done_interrupted_resumes_steady_same_as_ended,schedule::steady::flow_tests::steady_talk_done_interrupted_resumes_steady_same_as_ended,theme_split
schedule::steady::tests::steady_talk_done_with_pending_close_begins_handshake,schedule::steady::flow_tests::steady_talk_done_with_pending_close_begins_handshake,theme_split
schedule::steady::tests::talk_done_of_target_talk_clears_choice_ledger,schedule::steady::choice_timeout_tests::talk_done_of_target_talk_clears_choice_ledger,theme_split
schedule::steady::tests::talk_done_quit_clears_choice_ledger,schedule::steady::choice_timeout_tests::talk_done_quit_clears_choice_ledger,theme_split
schedule::steady::tests::talk_ids_never_reused_across_mixed_origins,schedule::steady::flow_tests::talk_ids_never_reused_across_mixed_origins,theme_split
schedule::steady::tests::tick_after_choice_resolution_drops_choosing,schedule::steady::choice_tests::tick_after_choice_resolution_drops_choosing,theme_split
schedule::steady::tests::tick_after_timeout_cancel_drops_choosing,schedule::steady::choice_timeout_tests::tick_after_timeout_cancel_drops_choosing,theme_split
schedule::steady::tests::tick_during_choice_waiting_notifies_with_talking_and_choosing,schedule::steady::choice_tests::tick_during_choice_waiting_notifies_with_talking_and_choosing,theme_split
schedule::steady::tests::timeout_failed_via_step_cancels_without_unloading,schedule::steady::choice_timeout_tests::timeout_failed_via_step_cancels_without_unloading,theme_split
schedule::steady::tests::unsupported_choice_resolves_without_emitting_any_event,schedule::steady::choice_tests::unsupported_choice_resolves_without_emitting_any_event,theme_split
choice_test::on_id_choice_fires_named_event_only_then_resolves_and_starts,choice_test::named_event_tests::on_id_choice_fires_named_event_only_then_resolves_and_starts,theme_split
