old_fqn,new_fqn,reason
placement::spawn::tests::t_v1_cleanup_logs_are_debug_only_and_name_the_scope,placement::spawn::cleanup_tests::t_v1_cleanup_logs_are_debug_only_and_name_the_scope,theme_split
placement::spawn::tests::t_v1_despawn_balloon_window_removes_same_scope_entry,placement::spawn::cleanup_tests::t_v1_despawn_balloon_window_removes_same_scope_entry,theme_split
placement::spawn::tests::t_v1_despawn_char_window_removes_scope_entry,placement::spawn::cleanup_tests::t_v1_despawn_char_window_removes_scope_entry,theme_split
placement::spawn::tests::t_v1_despawn_without_registry_resource_is_noop,placement::spawn::cleanup_tests::t_v1_despawn_without_registry_resource_is_noop,theme_split
placement::spawn::tests::t_v1_paired_followup_despawn_is_noop,placement::spawn::cleanup_tests::t_v1_paired_followup_despawn_is_noop,theme_split
placement::spawn::tests::t_v1_remove_entry_of_unregistered_entity_is_noop,placement::spawn::cleanup_tests::t_v1_remove_entry_of_unregistered_entity_is_noop,theme_split
placement::spawn::tests::t_v1_surviving_scope_state_unchanged_by_cleanup,placement::spawn::cleanup_tests::t_v1_surviving_scope_state_unchanged_by_cleanup,theme_split
placement::tests::build_measure_scaling_degrades_to_96_equivalent_when_primary_dpi_unobtainable,placement::prepare_tests::build_measure_scaling_degrades_to_96_equivalent_when_primary_dpi_unobtainable,theme_split
placement::tests::build_measure_scaling_derives_k0_from_primary_and_author_dpi,placement::prepare_tests::build_measure_scaling_derives_k0_from_primary_and_author_dpi,theme_split
placement::tests::build_measure_scaling_uses_each_axis_own_author_dpi,placement::prepare_tests::build_measure_scaling_uses_each_axis_own_author_dpi,theme_split
placement::tests::monitor_records_of_zero_monitors_is_empty,placement::monitor_tests::monitor_records_of_zero_monitors_is_empty,theme_split
placement::tests::monitor_records_transcribe_every_field_in_physical_px,placement::monitor_tests::monitor_records_transcribe_every_field_in_physical_px,theme_split
placement::tests::monitor_snapshot_call_site_tags_are_distinct,placement::monitor_tests::monitor_snapshot_call_site_tags_are_distinct,theme_split
placement::tests::monitor_snapshot_from_monitors_empty_is_empty,placement::monitor_tests::monitor_snapshot_from_monitors_empty_is_empty,theme_split
placement::tests::monitor_snapshot_from_monitors_transcribes_all_work_areas_in_order,placement::monitor_tests::monitor_snapshot_from_monitors_transcribes_all_work_areas_in_order,theme_split
placement::tests::prepare_declared_author_dpi_drives_each_axis_k0_and_attach_value,placement::prepare_tests::prepare_declared_author_dpi_drives_each_axis_k0_and_attach_value,theme_split
placement::tests::prepare_emo2_carries_author_dpi_read_once_for_attach,placement::prepare_tests::prepare_emo2_carries_author_dpi_read_once_for_attach,theme_split
placement::tests::prepare_emo2_matches_ssp_balloon_offsets_at_dpi_120,placement::windowposition_tests::prepare_emo2_matches_ssp_balloon_offsets_at_dpi_120,theme_split
placement::tests::prepare_emo2_returns_two_scope_placements,placement::prepare_tests::prepare_emo2_returns_two_scope_placements,theme_split
placement::tests::prepare_emo2_scales_window_sizes_by_k0,placement::prepare_tests::prepare_emo2_scales_window_sizes_by_k0,theme_split
placement::tests::prepare_emo2_without_primary_dpi_still_measures,placement::prepare_tests::prepare_emo2_without_primary_dpi_still_measures,theme_split
placement::tests::prepare_ghost_windows_logs_snapshot_with_its_own_call_site_tag,placement::monitor_tests::prepare_ghost_windows_logs_snapshot_with_its_own_call_site_tag,theme_split
placement::tests::prepare_ghost_windows_uses_primary_monitor,placement::prepare_tests::prepare_ghost_windows_uses_primary_monitor,theme_split
placement::tests::prepare_k0_rounding_matches_integer_authority_not_f32,placement::prepare_tests::prepare_k0_rounding_matches_integer_authority_not_f32,theme_split
placement::tests::prepare_missing_root_returns_mount_err_to_caller,placement::prepare_tests::prepare_missing_root_returns_mount_err_to_caller,theme_split
placement::tests::prepare_never_reads_or_writes_ghost_dat,placement::prepare_tests::prepare_never_reads_or_writes_ghost_dat,theme_split
placement::tests::prepare_windowposition_adjust_is_identical_for_both_balloon_sides,placement::windowposition_tests::prepare_windowposition_adjust_is_identical_for_both_balloon_sides,theme_split
placement::tests::prepare_windowposition_adjust_scales_with_balloon_k_not_shell_k,placement::windowposition_tests::prepare_windowposition_adjust_scales_with_balloon_k_not_shell_k,theme_split
placement::tests::prepare_windowposition_logs_scope_raw_side_and_converted_adjust,placement::windowposition_tests::prepare_windowposition_logs_scope_raw_side_and_converted_adjust,theme_split
placement::tests::prepare_windowposition_yields_to_persisted_balloon_offset,placement::windowposition_tests::prepare_windowposition_yields_to_persisted_balloon_offset,theme_split
placement::tests::prepare_without_windowposition_keeps_resolver_output_bit_identical,placement::windowposition_tests::prepare_without_windowposition_keeps_resolver_output_bit_identical,theme_split
placement::tests::prepared_placement_is_send,placement::prepare_tests::prepared_placement_is_send,theme_split
placement::tests::primary_work_area_empty_is_monitor_err,placement::monitor_tests::primary_work_area_empty_is_monitor_err,theme_split
placement::tests::primary_work_area_no_primary_substitutes_first,placement::monitor_tests::primary_work_area_no_primary_substitutes_first,theme_split
placement::tests::primary_work_area_picks_is_primary,placement::monitor_tests::primary_work_area_picks_is_primary,theme_split
placement::follow::tests::on_char_drag_tunnel_phase_is_ignored,placement::follow::drag_tests::on_char_drag_tunnel_phase_is_ignored,theme_split
placement::follow::tests::on_char_drag_bubble_moves_balloon_by_offset,placement::follow::drag_tests::on_char_drag_bubble_moves_balloon_by_offset,theme_split
placement::follow::tests::on_char_drag_without_window_pos_is_noop,placement::follow::drag_tests::on_char_drag_without_window_pos_is_noop,theme_split
placement::follow::tests::on_char_drag_without_balloon_follow_is_noop,placement::follow::drag_tests::on_char_drag_without_balloon_follow_is_noop,theme_split
placement::follow::tests::bottom_snap_policy_pins_y_and_passes_x_through,placement::follow::anchor_tests::bottom_snap_policy_pins_y_and_passes_x_through,theme_split
placement::follow::tests::bottom_snap_policy_resolves_per_monitor,placement::follow::anchor_tests::bottom_snap_policy_resolves_per_monitor,theme_split
placement::follow::tests::bottom_snap_policy_degrades_to_identity,placement::follow::anchor_tests::bottom_snap_policy_degrades_to_identity,theme_split
placement::follow::tests::project_anchor_bottom_delegates_to_bottom_snap_policy,placement::follow::anchor_tests::project_anchor_bottom_delegates_to_bottom_snap_policy,theme_split
placement::follow::tests::project_anchor_top_pins_top_edge_and_keeps_x,placement::follow::anchor_tests::project_anchor_top_pins_top_edge_and_keeps_x,theme_split
placement::follow::tests::project_anchor_left_pins_left_edge_and_keeps_y,placement::follow::anchor_tests::project_anchor_left_pins_left_edge_and_keeps_y,theme_split
placement::follow::tests::project_anchor_right_pins_right_edge_and_keeps_y,placement::follow::anchor_tests::project_anchor_right_pins_right_edge_and_keeps_y,theme_split
placement::follow::tests::project_anchor_free_is_always_identity,placement::follow::anchor_tests::project_anchor_free_is_always_identity,theme_split
